지점,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30
강남구,49,51,29,27,21,29,17,33,29,19,29,36,25,13,10,16,16,23,24,20,17,23,19,15,12,8,10,20,38,31
강동구,36,35,28,26,20,16,13,27,24,14,26,35,22,12,10,13,14,21,20,18,15,22,18,12,11,7,12,19,29,25
강북구,44,45,33,30,21,16,13,34,31,19,30,40,24,10,7,15,13,22,21,15,15,25,19,11,10,7,11,21,38,31
강서구,47,45,29,31,23,22,16,40,30,24,33,41,24,14,11,15,19,25,22,19,19,21,21,14,14,8,13,20,32,27
관악구,55,55,34,34,27,23,20,40,32,21,34,41,27,16,14,17,24,30,29,25,22,26,23,18,17,11,16,-,42,33
광진구,54,51,37,32,22,15,12,37,30,16,31,44,25,10,7,12,14,23,23,17,14,24,18,12,11,8,10,20,35,32
구로구,48,47,29,28,24,20,15,35,27,16,36,43,25,17,12,15,20,25,23,20,19,24,22,16,14,10,15,22,32,26
금천구,58,55,31,30,26,17,15,39,28,17,33,40,22,13,10,14,20,24,25,19,19,23,22,15,14,8,14,21,31,29
노원구,46,45,35,34,23,20,16,35,37,22,32,44,28,14,10,16,16,25,25,20,18,28,22,15,13,8,16,24,40,32
도봉구,45,47,36,34,24,20,15,33,33,22,31,42,24,13,10,15,15,28,26,20,20,32,24,15,15,9,16,26,45,32
동대문구,37,39,29,29,20,15,13,31,26,17,30,37,24,12,10,14,15,22,21,17,16,23,19,13,12,7,12,20,28,24
동작구,52,46,29,29,24,17,15,36,27,17,30,42,25,15,12,15,20,24,24,18,17,24,21,15,13,7,14,20,33,30
마포구,52,52,34,36,27,20,19,39,35,25,36,43,28,17,15,19,23,29,27,25,23,26,25,20,19,13,19,26,38,32
서대문구,54,51,35,36,27,19,17,37,32,22,35,45,26,14,12,16,20,29,33,33,19,33,28,17,14,10,15,26,42,32
서초구,40,42,32,32,26,19,16,37,27,18,32,40,24,13,11,15,18,26,26,21,19,27,21,17,15,8,14,22,35,29
성동구,52,53,38,37,31,27,19,40,30,20,35,45,26,16,13,15,19,29,27,23,21,27,24,16,16,9,14,24,36,31
성북구,46,49,37,36,26,22,17,41,41,26,36,48,28,15,11,16,17,36,28,21,20,32,24,15,15,9,15,24,42,34
송파구,46,46,35,34,26,24,16,42,33,19,35,46,28,17,13,17,19,28,27,23,19,30,22,15,15,7,14,22,33,29
양천구,61,61,33,34,27,19,18,39,35,23,40,55,35,20,16,20,25,29,29,26,23,27,26,19,19,10,17,26,37,35
영등포구,40,39,25,24,21,20,14,33,24,16,29,37,23,16,13,14,17,24,21,19,17,20,17,15,13,8,13,19,28,23
용산구,50,47,31,31,24,18,17,37,28,19,33,40,25,14,12,16,19,24,25,21,19,25,21,17,14,9,15,23,34,29
은평구,46,45,31,31,25,21,17,42,34,22,35,41,24,14,9,-,22,28,25,21,19,29,21,15,15,8,14,25,40,32
종로구,50,49,32,33,21,17,13,36,30,17,31,44,24,11,8,13,16,25,24,19,15,25,19,12,10,7,12,20,35,30
중구,47,46,29,30,20,17,14,34,30,17,32,42,24,12,10,15,16,24,22,19,16,23,19,13,13,7,12,20,33,29
중랑구,47,47,37,34,26,24,16,36,33,21,42,50,32,19,15,18,20,29,26,24,21,30,24,16,16,10,17,26,42,32