지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30
강화군,71,62,58,41,185,80,137,102,48,52,71,51,51,40,30,32,44,41,33,36,37,30,27,34,26,29,40,61,40,-
계양구,110,76,73,58,217,95,159,116,60,78,86,60,62,47,51,44,59,55,44,34,44,39,36,55,37,43,52,71,68,-
남구,118,93,84,62,241,106,199,141,62,72,86,57,73,53,42,54,64,57,46,38,52,49,38,47,36,36,46,67,52,-
남동구,87,65,60,43,189,74,153,100,35,56,67,44,49,29,27,34,45,46,33,22,30,35,24,35,20,24,35,48,37,-
남동구,114,75,68,53,230,94,170,119,47,72,77,55,63,42,38,51,53,51,45,37,42,41,33,49,30,38,48,62,51,-
남동구,87,66,58,47,215,88,168,114,39,67,58,40,57,38,30,36,45,41,38,31,31,37,28,40,28,30,41,51,39,-
동구,84,71,61,56,185,82,160,108,44,61,65,45,51,35,29,38,45,41,31,27,34,34,22,34,25,24,34,50,35,-
부평구,88,57,48,45,151,69,129,96,37,64,74,49,46,35,30,42,41,43,36,26,31,32,24,33,19,24,38,55,41,-
서구,93,67,67,54,198,87,165,117,51,69,83,55,56,39,37,41,52,46,36,27,35,34,24,39,22,29,41,64,48,-
서구,104,76,68,57,202,93,157,121,58,64,78,55,63,45,40,53,58,56,49,39,43,42,32,50,32,36,42,60,52,-
서구,91,62,59,51,196,86,162,113,49,73,81,49,57,37,34,40,54,55,32,26,33,32,24,39,23,27,43,68,47,-
서구,109,85,84,62,247,99,176,137,50,58,86,61,71,51,45,47,66,58,46,37,47,51,33,50,31,37,51,72,55,-
연수구,87,58,55,47,139,69,115,82,37,53,53,41,49,37,34,38,47,44,37,32,37,40,31,35,34,33,49,53,43,-
중구,91,97,84,61,277,104,197,131,57,83,96,68,74,52,49,60,70,61,49,41,53,51,38,56,38,43,56,73,60,-
중구,67,22,38,56,207,99,174,117,48,56,63,46,66,39,27,38,47,42,36,27,37,35,27,42,26,27,45,66,44,-