date,province,gungu,elec,emission
201601,Chungcheongnam-do,태안군,태안발전소,125.99
201602,Chungcheongnam-do,태안군,태안발전소,301.56
201603,Chungcheongnam-do,태안군,태안발전소,76.9
201604,Chungcheongnam-do,태안군,태안발전소,308.16
201605,Chungcheongnam-do,태안군,태안발전소,829.63
201606,Chungcheongnam-do,태안군,태안발전소,220.65
201607,Chungcheongnam-do,태안군,태안발전소,53.2
201608,Chungcheongnam-do,태안군,태안발전소,75.29
201609,Chungcheongnam-do,태안군,태안발전소,0
201610,Chungcheongnam-do,태안군,태안발전소,0
201611,Chungcheongnam-do,태안군,태안발전소,0
201612,Chungcheongnam-do,태안군,태안발전소,0
201601,Gyeonggi-do,평택시,평택발전소,379.54
201602,Gyeonggi-do,평택시,평택발전소,5058.99
201603,Gyeonggi-do,평택시,평택발전소,243.81
201604,Gyeonggi-do,평택시,평택발전소,210.08
201605,Gyeonggi-do,평택시,평택발전소,489.7
201606,Gyeonggi-do,평택시,평택발전소,413.13
201607,Gyeonggi-do,평택시,평택발전소,327.85
201608,Gyeonggi-do,평택시,평택발전소,449.28
201609,Gyeonggi-do,평택시,평택발전소,0
201610,Gyeonggi-do,평택시,평택발전소,0
201611,Gyeonggi-do,평택시,평택발전소,0
201612,Gyeonggi-do,평택시,평택발전소,0
201601,Chungcheongnam-do,당진시,당진발전소,99
201602,Chungsheongnam-do,당진시,당진발전소,1317
201603,Chungsheongnam-do,당진시,당진발전소,747
201604,Chungsheongnam-do,당진시,당진발전소,3840
201605,Chungsheongnam-do,당진시,당진발전소,2600.5
201606,Chungsheongnam-do,당진시,당진발전소,663.82
201607,Chungsheongnam-do,당진시,당진발전소,214.79
201608,Chungsheongnam-do,당진시,당진발전소,149.36
201609,Chungsheongnam-do,당진시,당진발전소,0
201610,Chungsheongnam-do,당진시,당진발전소,2884.41
201611,Chungsheongnam-do,당진시,당진발전소,781.78
201612,Chungsheongnam-do,당진시,당진발전소,861
201601,Gangwon-do,동해시,동해발전소,8
201602,Gangwon-do,동해시,동해발전소,6
201603,Gangwon-do,동해시,동해발전소,6
201604,Gangwon-do,동해시,동해발전소,240
201605,Gangwon-do,동해시,동해발전소,89.68
201606,Gangwon-do,동해시,동해발전소,174.26
201607,Gangwon-do,동해시,동해발전소,109.84
201608,Gangwon-do,동해시,동해발전소,12.5
201609,Gangwon-do,동해시,동해발전소,0
201610,Gangwon-do,동해시,동해발전소,136.78
201611,Gangwon-do,동해시,동해발전소,501.66
201612,Gangwon-do,동해시,동해발전소,107
201601,Jeollanam-do,여수시,호남발전소,47
201602,Jeollanam-do,여수시,호남발전소,79
201603,Jeollanam-do,여수시,호남발전소,242
201604,Jeollanam-do,여수시,호남발전소,80
201605,Jeollanam-do,여수시,호남발전소,89.68
201606,Jeollanam-do,여수시,호남발전소,6.88
201607,Jeollanam-do,여수시,호남발전소,4.18
201608,Jeollanam-do,여수시,호남발전소,38.18
201609,Jeollanam-do,여수시,호남발전소,0
201610,Jeollanam-do,여수시,호남발전소,364.48
201611,Jeollanam-do,여수시,호남발전소,225.83
201612,Jeollanam-do,여수시,호남발전소,7
201601,Ulsan,남구,울산발전소,123
201602,Ulsan,남구,울산발전소,217
201603,Ulsan,남구,울산발전소,395
201604,Ulsan,남구,울산발전소,389
201605,Ulsan,남구,울산발전소,516.02
201606,Ulsan,남구,울산발전소,374.36
201607,Ulsan,남구,울산발전소,283.53
201608,Ulsan,남구,울산발전소,421.9
201609,Ulsan,남구,울산발전소,0
201610,Ulsan,남구,울산발전소,157.72
201611,Ulsan,남구,울산발전소,455.1
201612,Ulsan,남구,울산발전소,485
201601,Gyeongsangnam-do,하동군,하동발전소,6
201602,Gyeongsangnam-do,하동군,하동발전소,6
201603,Gyeongsangnam-do,하동군,하동발전소,6
201604,Gyeongsangnam-do,하동군,하동발전소,7
201605,Gyeongsangnam-do,하동군,하동발전소,7
201606,Gyeongsangnam-do,하동군,하동발전소,6
201607,Gyeongsangnam-do,하동군,하동발전소,6
201608,Gyeongsangnam-do,하동군,하동발전소,6
201609,Gyeongsangnam-do,하동군,하동발전소,7
201610,Gyeongsangnam-do,하동군,하동발전소,7
201611,Gyeongsangnam-do,하동군,하동발전소,0
201612,Gyeongsangnam-do,하동군,하동발전소,6
201601,Jeju-do,서귀포시,남제주발전소,3
201602,Jeju-do,서귀포시,남제주발전소,3
201603,Jeju-do,서귀포시,남제주발전소,3
201604,Jeju-do,서귀포시,남제주발전소,3
201605,Jeju-do,서귀포시,남제주발전소,3
201606,Jeju-do,서귀포시,남제주발전소,3
201607,Jeju-do,서귀포시,남제주발전소,4
201608,Jeju-do,서귀포시,남제주발전소,4
201609,Jeju-do,서귀포시,남제주발전소,4
201610,Jeju-do,서귀포시,남제주발전소,4
201611,Jeju-do,서귀포시,남제주발전소,0
201612,Jeju-do,서귀포시,남제주발전소,0